Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
South Shore,72,8,9,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,4,6,0,10,0,10,0,10
South Side Flats,73,2039,254.0137792,1982,255.0392127,19,36.61966685,0,24.49489743,51,60.07495318,50,37.74917218,43,35.665109,0,24.49489743,29,32.40370349,124,95.92184319,80,63.3245608,132,70.66823898,59,44.69899328,181,100.059982,112,61.52235366,39,37.41657387,87,72.82170006,72,55.79426494,88,49.84977432,306,127.9023065,177,75.83534796,243,121.913904,90,64.57553716,57,52.46903849
South Side Slopes,74,951,161.5580391,923,162.6222617,0,26.45751311,31,41.90465368,0,26.45751311,30,41.06093034,8,27.73084925,32,47.37087713,0,26.45751311,44,35.90264614,73,54.52522352,101,71.58212067,14,27.29468813,20,27.87471973,42,34.68429039,68,51.45872132,22,34.07345007,146,73.86474125,7,27.27636339,155,77.9166221,53,40.49691346,43,31.51190251,34,52.11525688,28,28.94822965
Spring Garden,75,113,52.83937925,113,52.83937925,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,26,21.47091055,0,14.14213562,7,14.14213562,6,13.45362405,22,30.6757233,21,17.80449381,7,17.20465053,0,14.14213562,0,14.14213562,6,14.86606875,7,14.86606875,3,12.80624847,8,14.86606875,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Spring Hill-City View,76,421,123.6931688,397,125.6065285,23,24.49489743,41,50.65570057,30,52.92447449,38,46.21688003,47,44.19275959,0,17.32050808,65,70.43436661,0,17.32050808,21,27.85677655,31,47.16990566,32,54.85435261,13,25.3179778,40,66.52067348,0,17.32050808,0,17.32050808,0,17.32050808,10,21.3541565,0,17.32050808,6,16.76305461,0,17.32050808,0,17.32050808,24,29.3428015
Squirrel Hill North,77,1348,159.5619002,1268,155.8685343,0,31.6227766,18,41.03656906,0,31.6227766,5,31.04834939,0,31.6227766,22,43.8634244,18,34.64101615,0,31.6227766,15,31.6227766,17,33.85262176,56,57.45432969,30,34.98571137,67,57.79273311,5,31.95309062,91,51.45872132,98,52.36410985,72,49.39635614,290,93.51470473,224,82.88546314,120,49.01020302,120,78.72102642,80,52
Squirrel Hill South,78,3849,319.1927317,3792,317.1734541,17,43.92038251,65,87.89197916,57,49.24428901,21,41.06093034,86,57.48912941,64,76.24959016,27,41.03656906,114,92.86549413,84,86.29020802,154,78.53024895,254,104.124925,153,97.12363255,123,69.0869018,249,95.46727188,295,116.7047557,411,131.346869,346,125.0399936,656,156.5407295,250,96.10931276,253,118.5748709,113,93.72833083,57,51.80733539
St. Clair,79,52,29,42,28,0,10,0,10,0,10,0,10,0,10,0,10,10,15,0,10,3,5,20,22,0,10,0,10,0,10,7,12,0,10,2,6,0,10,0,10,0,10,0,10,0,10,10,16
Stanton Heights,80,337,87.28688332,307,86.22644606,3,18.02775638,0,20,30,29.59729717,5,19.5192213,0,20,6,19.5192213,31,42.67317659,4,19.07878403,9,22.27105745,6,19.5192213,40,33.43650699,29,28.01785145,64,42.26109322,31,31.93743885,0,20,49,50.76416059,0,20,0,20,0,20,0,20,0,20,30,35.51056181
Strip District,81,397,66,397,66,0,10,0,10,8,12,0,10,0,10,0,10,0,10,17,18,7,10,0,10,0,10,5,9,0,10,18,21,7,11,0,10,0,10,0,10,150,59,115,45,70,40,0,10
Summer Hill,82,147,42,142,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,46,31,15,16,26,23,17,18,11,13,18,16,0,10,6,9,0,10,0,10,0,10,5,8
Swisshelm Park,83,60,29,50,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,18,0,10,6,10,0,10,6,9,0,10,0,10,14,16,7,10,0,10,5,9,0,10,0,10,10,12
Terrace Village,84,892,120.158229,887,120.158229,110,54.3783045,35,23.28089345,174,87.57282684,71,36.08323711,28,26.77685568,68,46.31414471,75,45.80392996,66,38.26225294,18,24.59674775,38,24.37211521,25,26.55183609,38,28.72281323,0,17.32050808,8,17.91647287,12,17.3781472,18,25.3179778,35,28.72281323,28,33.1662479,32,25.3179778,8,19.20937271,0,17.32050808,5,16.24807681
Troy Hill,85,557,136.7406304,546,134.2721118,0,14.14213562,39,63.78871374,0,14.14213562,0,14.14213562,16,20,29,32.01562119,0,14.14213562,31,30.6757233,0,14.14213562,38,52.95280918,24,28.7923601,56,36.67424164,6,14.86606875,61,54.81788029,0,14.14213562,28,31.6227766,0,14.14213562,11,21.47091055,89,61.40032573,91,61.81423784,27,29.73213749,11,18.86796226
Upper Hill,86,433,93.66963222,419,92.07062507,13,19.89974874,7,17.32050808,15,28.72281323,18,32.26453161,16,27.85677655,17,29.59729717,0,17.32050808,30,24.49489743,11,23.68543856,59,46.10856753,100,56.83308895,29,32.46536616,29,31.591138,0,17.32050808,0,17.32050808,18,28.72281323,19,34.98571137,22,32.26453161,16,30.47950131,0,17.32050808,0,17.32050808,14,22.89104628
Upper Lawrenceville,87,573,129.0193784,565,128.5729365,0,17.32050808,0,17.32050808,0,17.32050808,36,41.47288271,10,21.3541565,19,24.49489743,0,17.32050808,68,58.33523806,12,23.68543856,57,46.54030511,52,57.48912941,29,28.01785145,87,73.5187051,49,40.47221269,65,47.22287581,18,31.36877428,20,26.15339366,36,35.4964787,0,17.32050808,7,18.54723699,0,17.32050808,8,19.89974874
West End,88,81,60,81,60,0,10,10,16,0,10,0,10,8,12,0,10,0,10,27,39,4,6,4,6,0,10,0,10,0,10,0,10,28,45,0,10,0,10,0,10,0,10,0,10,0,10,0,10
West Oakland,89,419,74.63243263,409,73.00684899,15,26,6,14.14213562,23,18.86796226,34,34.4818793,0,14.14213562,15,24.16609195,28,26,0,14.14213562,21,34.4818793,22,26,18,28.7923601,12,21.47091055,6,13.45362405,4,12.80624847,60,49.03060269,49,27.89265136,30,29.06888371,16,25.07987241,0,14.14213562,46,40.60788101,4,11.66190379,10,16.40121947
Westwood,90,518,118.8107739,502,116.0172401,0,14.14213562,13,22.36067978,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,6,13.45362405,20,24.16609195,11,19.72308292,72,66.61080993,15,19.72308292,94,58.24946352,56,45.12205669,94,61.07372594,62,45.65084884,59,58.85575588,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,16,18.38477631
Windgap,91,92,66.57326791,92,66.57326791,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,37,36.24913792,0,14.14213562,0,14.14213562,27,43.17406629,0,14.14213562,0,14.14213562,28,47.07440918,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
