Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Perry South,63,830,150.9138827,812,151.2811951,40,34.13209633,8,25.37715508,19,27.49545417,51,34.24908758,59,47.38143096,32,31.12876483,43,31.41655614,13,25,53,52.30678732,32,37.41657387,108,71.1758386,77,62.18520724,107,67.690472,35,39.59797975,65,47.60252094,50,41.23105626,0,24.49489743,11,27.49545417,0,24.49489743,0,24.49489743,9,26.38181192,0,24.49489743,0,24.49489743,0,24.49489743,18,28.70540019
Point Breeze,64,719,124.7757989,672,121.6511406,0,26.45751311,0,26.45751311,0,26.45751311,6,25.76819745,0,26.45751311,9,28.21347196,0,26.45751311,10,28.72281323,73,70.49113419,15,29.20616373,72,44.69899328,57,41.25530269,52,40.42276586,8,27.27636339,48,47.75981575,43,37.90778284,76,45.65084884,116,54.30469593,57,31.48015248,30,30.8058436,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,47,37.74917218
Point Breeze North,65,660,159.2513736,660,159.2513736,0,17.32050808,43,70.43436661,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,63,84.93526947,11,23.68543856,10,22.11334439,49,55.53377351,154,103.4263023,26,31.06444913,42,39.56008089,14,25.3179778,30,32.63433774,75,64.73020933,56,47.08502947,59,37.60319135,28,28.70540019,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Polish Hill,66,376,64.03124237,348,61.40032573,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,14,14.86606875,39,21.9317122,25,16.40121947,38,27.85677655,20,17.80449381,58,41.72529209,19,13,5,13.45362405,15,14.86606875,41,41.23105626,32,26.40075756,25,20.61552813,0,14.14213562,17,28.7923601,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,28,17.69180601
Regent Square,67,133,41,125,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,13,0,10,0,10,22,18,38,21,5,7,7,10,11,12,14,14,0,10,16,16,0,10,0,10,0,10,0,10,8,9
Ridgemont,68,26,26,26,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,18,0,10,0,10,0,10,0,10,0,10,14,20,0,10,0,10,0,10,0,10,0,10
Shadyside,69,5548,347.2232711,5387,342.242604,0,37.41657387,8,38.67815921,0,37.41657387,0,37.41657387,8,38.67815921,0,37.41657387,38,43.68065934,34,41.50903516,43,50.05996404,116,63.5767253,130,77.96152897,245,99.41327879,252,78.45380807,305,105.5840897,393,120.9173271,568,158.4771277,554,144.6720429,1138,191.9947916,861,173.3060876,508,145.192975,147,84.21401309,20,40.64480287,8,40.75536774,11,39.05124838,161,88.72992731
Sheraden,70,848,175.4736447,811,173.6577093,0,24.49489743,0,24.49489743,9,26.92582404,37,41.53311931,65,57.84461946,17,33.54101966,45,67.6535291,49,40.31128874,75,58.73670062,47,46.05431576,91,60.97540488,27,35.79106034,149,95.65563235,60,63.60031446,62,58.10335619,3,23.43074903,75,77.18160403,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,37,40.64480287
South Oakland,71,737,146.130079,737,146.130079,4,19.5192213,0,20,46,51.97114584,0,20,8,22.27105745,0,20,0,20,41,32.95451411,30,27.60434748,30,29.74894956,33,30.39736831,61,66.00757532,47,45.91296113,64,42.20189569,36,28.68797658,21,22.64950331,42,47.46577715,55,48.43552415,78,52.43090692,93,53.33854141,48,48.67237409,0,20,0,20,0,20,0,20
South Shore,72,8,9,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,4,6,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1926,238.5015723,1868,234.8148207,15,33.54101966,0,24.49489743,80,63.89053138,32,29.8831056,38,30.23243292,27,43.23193264,27,31.30495168,63,46.32493929,49,56.60388679,95,55.83905443,19,29.18903904,179,88.81441324,158,90.01666512,35,41.0487515,96,70.8942875,51,45.23273151,68,49.84977432,261,108.0277742,248,106.7052014,227,103.6629153,90,61.78187436,0,24.49489743,0,24.49489743,10,26.92582404,58,53.6563137
South Side Slopes,74,935,145.0896275,909,145.8080931,5,26.0959767,0,26.45751311,0,26.45751311,14,27.82085549,8,27.27636339,37,52.53570215,0,26.45751311,35,31.84336666,55,47.30750469,120,71.83313998,49,38.79432948,33,35.74912586,21,27.67670501,59,51.52669211,13,30.39736831,152,71.88880302,14,27.27636339,131,63.08724118,49,36.93237063,94,49.10193479,10,26.45751311,10,29.81610303,0,26.45751311,0,26.45751311,26,29.29163703
Spring Garden,75,125,43.9089968,119,43.0464865,0,14.14213562,0,14.14213562,6,13.45362405,6,13.45362405,23,21.47091055,6,13.45362405,6,13.45362405,5,12.80624847,15,23.2594067,25,17.69180601,13,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,5,12.80624847,3,11.18033989,6,13.45362405,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,6,12.80624847
Spring Hill-City View,76,441,112.9645962,421,114.5600279,13,25.3179778,56,52.73518749,30,50.03998401,43,45.13313639,49,45.39823785,11,21.3541565,47,63.59245238,0,17.32050808,18,24.49489743,33,55.82114295,32,48.12483766,34,61.64414003,40,55.47972603,0,17.32050808,0,17.32050808,0,17.32050808,9,19.89974874,0,17.32050808,6,16.76305461,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,20,26.03843313
Squirrel Hill North,77,1403,167.1286929,1325,161.5797017,0,31.6227766,20,43.8634244,0,31.6227766,8,32.69556545,0,31.6227766,0,31.6227766,28,37.58989226,0,31.6227766,13,33.54101966,8,32.31098884,35,41.88078318,46,41.03656906,83,63.89835679,16,33.42154993,73,50.37856687,112,54.74486277,92,57.69748695,241,74.85986909,272,81.10487038,146,57.8186821,24,40.26164428,72,67.6609193,36,55.75840744,0,31.6227766,78,52.74466798
Squirrel Hill South,78,4059,317.7782246,3998,315.4615666,15,41.58124577,10,37.74917218,153,109.3160555,39,48.98979486,88,59.37171044,42,50.7838557,27,41.03656906,49,55.58776844,80,82.36504113,176,89.02246907,307,118.5158217,150,96.91233152,153,74.21590126,288,131.4229812,238,118.7813117,500,149.7264172,377,125.6343902,564,150.5489953,225,88.65664104,367,130.4798835,22,41.43669871,9,37,46,66.70082458,73,67.55738302,61,53.01886457
St. Clair,79,53,36,42,34,0,10,0,10,0,10,0,10,0,10,0,10,10,14,0,10,4,7,19,29,0,10,0,10,0,10,7,12,0,10,2,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,16
Stanton Heights,80,359,92.56889326,329,90.96153033,5,19.07878403,0,20,10,20.51828453,12,20,0,20,6,19.5192213,0,20,5,19.07878403,21,28.03569154,6,19.5192213,59,39.48417404,72,50.93132631,60,36.83748091,29,32.07802986,5,19.07878403,39,48.63126566,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,30,33.77869151
Strip District,81,448,57,448,57,0,10,0,10,7,10,0,10,0,10,0,10,0,10,17,18,6,9,0,10,0,10,6,10,0,10,6,10,7,10,0,10,0,10,0,10,111,50,193,50,73,35,8,13,0,10,14,11,0,10
Summer Hill,82,114,42,110,42,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,7,0,10,0,10,27,31,17,20,14,17,7,12,10,10,22,20,0,10,10,9,0,10,0,10,0,10,0,10,0,10,0,10,4,7
Swisshelm Park,83,63,28,53,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10,0,10,6,9,0,10,13,13,0,10,0,10,14,14,7,10,0,10,6,8,0,10,0,10,0,10,0,10,0,10,10,11
Terrace Village,84,775,102.8299567,769,102.2301325,92,46.04345773,20,20.90454496,80,46.69047012,56,32.12475681,0,17.32050808,39,34.46737588,54,41.77319715,94,54.94542747,28,29.8831056,33,29.54657341,48,34.38022688,50,38.4317577,0,17.32050808,8,18.54723699,14,20.42057786,7,19.20937271,35,28.72281323,49,44.31703961,36,24.49489743,26,30.47950131,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,6,16.76305461
Troy Hill,85,540,132.280006,527,133.8431918,0,14.14213562,34,56.88585061,0,14.14213562,0,14.14213562,14,18.60107524,29,32.80243893,0,14.14213562,43,35.44009029,0,14.14213562,50,63.78871374,9,17.20465053,65,42.94182111,6,19.72308292,74,29.83286778,0,14.14213562,0,14.14213562,0,14.14213562,17,31.6227766,50,39.11521443,108,68.73136111,14,24.16609195,0,14.14213562,0,14.14213562,14,24.16609195,13,21.47091055
Upper Hill,86,429,142.1196679,419,138.4015896,13,20.61552813,6,16.76305461,15,27,19,33.1662479,14,27,16,28.72281323,0,17.32050808,17,19.41648784,15,25.3179778,90,83.83913167,82,66.79071792,29,30.34798181,0,17.32050808,0,17.32050808,0,17.32050808,21,29.59729717,11,36.82390528,22,30.47950131,42,57.75811631,0,17.32050808,0,17.32050808,0,17.32050808,7,17.32050808,0,17.32050808,10,20.61552813
Upper Lawrenceville,87,693,132.3820229,680,132.3140204,0,17.32050808,0,17.32050808,0,17.32050808,29,42.42640687,13,24.49489743,16,28.72281323,0,17.32050808,81,59.30430001,40,36.85105155,57,49.689033,57,63.43500611,42,35.07135583,91,67.45368782,19,25.3179778,61,43.829214,32,38.67815921,22,31.36877428,68,47.49736835,47,41.80908992,5,17.91647287,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,13,18.49324201
West End,88,64,45,64,45,0,10,10,16,0,10,0,10,7,10,14,21,0,10,0,10,4,6,4,6,0,10,0,10,0,10,0,10,25,41,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
West Oakland,89,426,73.40980861,410,71.58910532,30,37.36308338,6,13.45362405,22,20.59126028,41,41.23105626,0,14.14213562,0,14.14213562,29,28.7923601,0,14.14213562,28,35.44009029,33,29.41088234,18,26,13,21.47091055,6,13.45362405,14,18.86796226,27,18.86796226,60,33.37663854,23,29.73213749,19,25.07987241,0,14.14213562,37,24.35159132,4,11.66190379,0,14.14213562,0,14.14213562,0,14.14213562,16,18.02775638
Westwood,90,519,118.56222,502,117.1537451,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,7,14.86606875,10,18.02775638,10,18.86796226,50,46.09772229,22,23.2594067,101,55.54277631,56,44.14748011,113,74.27651042,65,47.88527958,63,66.75327707,5,12.80624847,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,17,19.10497317
Windgap,91,110,69.33974329,110,69.33974329,0,14.14213562,0,14.14213562,0,14.14213562,7,15.62049935,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,35,36.40054945,0,14.14213562,0,14.14213562,28,44.14748011,0,14.14213562,10,18.02775638,30,47.07440918,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
