Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Sheraden,70,3590,347.0417842,63,44.56455991,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,28,32.75667871,40,43.71498599,42,41.38840417,185,109.8180313,37,32.87856445,1113,246.0711279,206,110.7158525,235,87.89766777,369,124.2175511,466,150.9735076,525,164.1371378,247,111.1080555,1,22.44994432,33,41.72529209
South Oakland,71,1190,192.8574603,45,43.52011029,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,27,40.85339643,6,21.07130751,12,24.97999199,36,40.01249805,7,20.51828453,249,108.7795937,36,35.17101079,93,52.44997617,141,75.71657678,44,32.81767816,262,100.4440143,135,79.58014828,40,35,57,33.13608305
South Shore,72,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,4,6,0,10,0,10
South Side Flats,73,3984,387.4196691,20,29.8831056,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,8,25.86503431,0,24.49489743,15,28.37252192,19,30.08321791,18,29.06888371,64,45.33210783,4,23.74868417,810,184.5616428,128,80.44252607,168,98.90399385,228,109.2062269,279,115.6546584,1144,212.7439776,570,140.6840432,371,123.7335848,138,87.58424516
South Side Slopes,74,3015,333.0525484,11,26.79552201,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,26,30.34798181,32,32.26453161,57,40.28647416,60,42.29657197,72,44.94441011,920,218.0252279,161,63.10309026,127,59.82474404,272,103.4214678,313,125.1399217,568,148.7884404,185,68.89847604,133,70.84490102,78,65.90902821
Spring Garden,75,656,123.8426421,10,10.81665383,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,40,32.28002478,17,14.31782106,24,13.45362405,41,29.68164416,26,19.41648784,14,22.36067978,261,79.32212806,67,30.61045573,28,19.23538406,30,25.96150997,51,29.68164416,38,24.8394847,9,18.02775638,0,14.14213562,0,14.14213562
Spring Hill-City View,76,1566,208.3266666,10,17.3781472,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,7,20.61552813,14,19.33907961,0,17.32050808,21,22.91287847,0,17.32050808,4,16.24807681,96,72.28416147,36,29.76575213,685,154.8612282,91,69.03622238,80,40.60788101,165,86.47543004,100,50.68530359,142,53.89805191,93,58.87274412,14,21.3541565,8,19.20937271
Squirrel Hill North,77,5321,362.8842791,20,40.81666326,0,31.6227766,0,31.6227766,19,41.72529209,0,31.6227766,12,34.98571137,0,31.6227766,20,43.8634244,0,31.6227766,0,31.6227766,7,31.95309062,2,28.98275349,0,31.6227766,10,31.6227766,0,31.6227766,247,87.52142595,18,33.76388603,125,75.67033765,327,105.6834897,110,63.37980751,1384,188.5497282,1315,170.4728717,845,182.2772613,860,156.032048
Squirrel Hill South,78,11601,632.461066,8,36.22154055,0,36.05551275,0,36.05551275,0,36.05551275,0,36.05551275,16,48.5386444,23,44.10215414,0,36.05551275,21,40.5092582,5,36.34556369,38,46.19523785,97,85.84287973,68,59.41380311,86,64.66065264,67,58.38664231,1229,273.9726264,123,73.35529974,296,131.6396597,765,207.5403575,570,174.5451231,3137,354.5461888,2675,336.9807116,1005,196.2956953,1372,255.6286369
St. Clair,79,153,66,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,7,11,64,59,4,6,12,9,4,5,33,25,9,9,16,26,0,10,0,10
Stanton Heights,80,3556,262.2422544,35,32.74141109,0,20,0,20,0,20,0,20,0,20,0,20,17,30.41381265,0,20,0,20,22,23.17326045,21,21.44761059,21,23.2594067,78,38.37968212,73,47.30750469,855,146.6731059,67,43.28972164,187,68.85491994,553,151.5222756,307,85.14105942,785,164.7361527,393,104.9333122,68,47.22287581,74,40.07492982
Strip District,81,684,85,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,27,5,8,0,10,36,23,47,32,284,69,119,48,108,70,49,29
Summer Hill,82,909,74,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10,7,11,24,19,0,10,20,17,5,8,11,11,266,66,39,22,73,38,105,51,75,38,196,60,65,31,5,9,11,16
Swisshelm Park,83,1019,98,15,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8,9,21,15,20,24,21,16,250,60,44,26,34,22,54,21,88,32,208,49,203,71,43,24,10,11
Terrace Village,84,801,127.2556482,10,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,34,35.86084215,22,22.36067978,6,16.76305461,41,47.16990566,32,23.34523506,24,24.12467616,282,85.06468127,41,28.70540019,82,48.7954916,75,43.37049688,38,25.72936066,25,24.10394159,85,55.03635162,4,15.77973384,0,17.32050808
Troy Hill,85,1790,299.4828877,8,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,17,21.47091055,8,15.62049935,15,20.59126028,36,30.88689042,555,156.9777054,121,90.60905032,57,39.35733731,261,91.28526716,148,85.38149682,273,97.41663102,117,53.82378656,127,62.96824597,47,58.05170109
Upper Hill,86,1491,330.6856513,23,29.27456234,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,3,16.24807681,24,29.08607914,0,17.32050808,19,26.15339366,0,17.32050808,355,146.6424222,204,115.1737817,45,39.87480407,390,293.9693862,112,73.89857915,149,84.4570897,126,130.2689526,8,18.54723699,33,38.4317577
Upper Lawrenceville,87,1993,262.5280937,45,51.74939613,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,12,18.54723699,21,30.47950131,60,44.68780594,29,24.8997992,48,47.89572006,504,145.7154762,125,69.45502142,38,36.61966685,198,92.96235797,105,63.1585307,523,176.5729311,233,103.4456379,38,38.02630668,14,19.72308292
West End,88,91,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,35,23,0,10,0,10,14,16,18,22,17,22,7,12,0,10,0,10
West Oakland,89,850,147.8005413,16,18.86796226,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,51,42.20189569,7,15.62049935,5,15.62049935,161,59.66573556,71,33.54101966,60,44.29446918,164,70.83078427,35,28.63564213,147,73,82,42.42640687,25,31.6227766,26,23.43074903
Westwood,90,2539,223.6000894,119,116.4302366,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,9,16.40121947,0,14.14213562,28,26,10,18.02775638,75,56.60388679,70,50.59644256,20,20.80865205,839,148.1249473,67,36.05551275,61,46.84015371,357,121.2105606,152,55.80322571,537,118.3427226,186,78.5684415,0,14.14213562,0,14.14213562
Windgap,91,1066,208.0096152,10,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,8,16.40121947,0,14.14213562,21,22.02271555,0,14.14213562,38,45.54119015,10,17.20465053,409,132.3102415,64,41.40048309,78,35.60898763,168,80.8084154,106,73.34848328,79,40.31128874,75,58.69412236,0,14.14213562,0,14.14213562
