Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
Perry South,63,800,126.6017377,19,24.20743687,33,29.81610303,21,30.7408523,8,26.38181192,53,36.5650106,54,44.15880433,14,24.14539294,67,41.21892769,100,63.29296959,120,55.73149917,109,56.70097001,56,34.55430509,64,40.64480287,16,25.78759392,4,24.10394159,26,27.82085549,0,24.49489743,18,26.85144316,0,24.49489743,18,35.05709629,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743
Point Breeze,64,1623,107.1447619,14,27.82085549,0,26.45751311,0,26.45751311,15,28.94822965,0,26.45751311,5,25.76819745,0,26.45751311,15,29.20616373,0,26.45751311,15,29.25747768,16,29.81610303,4,25.21904043,17,29.89983278,52,35.39774004,35,29.24038303,73,40.73082371,80,39.7743636,217,67.09694479,250,65.49809158,318,74.74623736,246,64.02343321,168,48.75448697,71,36.12478374,8,24.18677324,4,25,0,26.45751311
Point Breeze North,65,336,89.08984229,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,6,16.76305461,0,17.32050808,11,22.89104628,0,17.32050808,0,17.32050808,7,18.54723699,14,26.15339366,0,17.32050808,28,29.01723626,45,32.01562119,20,26.15339366,34,26.64582519,49,31.36877428,50,35.90264614,59,56.21387729,0,17.32050808,13,23.68543856,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Polish Hill,66,334,54.56189146,0,14.14213562,0,14.14213562,5,12.20655562,17,21.47091055,9,14.86606875,12,12.80624847,10,14.86606875,40,21.58703314,20,15,32,19.84943324,30,17.49285568,4,11.66190379,20,15,26,17.02938637,27,19.23538406,23,15.8113883,39,31.90611227,18,14.14213562,2,10.77032961,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Regent Square,67,343,41,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,10,11,13,14,24,23,6,9,86,34,67,28,72,27,35,23,13,15,0,10,0,10,6,9,0,10
Ridgemont,68,136,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5,10,15,26,21,29,25,19,18,17,30,24,17,0,10,0,10,0,10,0,10,9,14,0,10,0,10,0,10,0,10,0,10,0,10
Shadyside,69,1936,210.3663471,0,37.41657387,0,37.41657387,0,37.41657387,13,41.23105626,0,37.41657387,0,37.41657387,0,37.41657387,0,37.41657387,11,40.75536774,0,37.41657387,15,38.4317577,11,40.29888336,19,40.84115571,214,92.84934033,86,57.90509477,58,47.16990566,95,50.53711507,244,95.55626615,268,95.21029356,332,119.8665925,163,70.65408693,243,85.44003745,111,64.21059103,36,47.29693436,17,41.97618372,0,37.41657387
Sheraden,70,1354,152.8234275,6,24.49489743,5,23.74868417,51,41.23105626,60,37.52332608,88,49.73932046,131,57.94825278,71,58.1893461,148,64.61423992,218,89.02808546,103,56.26721959,132,82.59539939,57,65.46754921,74,45.79301257,68,47.84349486,74,50.019996,5,25.70992026,8,25.37715508,39,51.14684741,0,24.49489743,6,24.10394159,10,26.92582404,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743
South Oakland,71,418,93.26306879,0,20,0,20,21,29.42787794,0,20,15,22.91287847,22,28.77498914,0,20,7,20.51828453,40,46.47580015,27,29.20616373,44,38.31448812,73,42.77849927,0,20,70,52.3736575,63,46.18441295,20,25.15949125,7,20.51828453,9,22.27105745,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1385,198.7360058,8,25.86503431,11,28.70540019,0,24.49489743,0,24.49489743,10,27.49545417,0,24.49489743,13,30,45,62.71363488,0,24.49489743,10,26.92582404,38,40.21193853,79,52.84884105,57,46.05431576,88,71.86793444,103,56.8594759,98,55.06359959,76,49.53786431,311,117.1324037,187,99.67447015,164,67.34240863,64,44.88875137,10,27.49545417,13,30,0,24.49489743,0,24.49489743,0,24.49489743
South Side Slopes,74,1053,134.3465668,31,33.89690251,31,43.78355856,23,28.24889378,28,41.14608122,34,33.91164992,59,38.65229618,30,29.25747768,95,53.94441584,82,43.62338822,44,31.9217794,80,41.19465985,82,51.05878964,8,28.21347196,106,56.66568627,64,46.65833259,76,42.14261501,17,28.98275349,60,54.7813837,16,28.51315486,74,49.35585072,13,26.17250466,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311
Spring Garden,75,272,58,4,11.66190379,12,16.40121947,24,22.13594362,43,30.41381265,18,13.89244399,14,13.41640787,5,14.14213562,23,16.2788206,18,26.92582404,22,20.59126028,4,12.20655562,25,22.13594362,0,14.14213562,35,20.80865205,6,14.14213562,0,14.14213562,7,15.62049935,12,13.45362405,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Spring Hill-City View,76,639,104.7520883,15,20.42057786,25,27,26,43.37049688,8,18.54723699,8,19.89974874,0,17.32050808,34,27.80287755,62,51.54609588,79,54.77225575,90,38.85871846,86,39.67366885,12,19.20937271,63,45.74931693,71,60.6465168,27,25.45584412,16,21.11871208,0,17.32050808,17,24.59674775,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Squirrel Hill North,77,1967,153.5708306,11,34,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,8,32.69556545,0,31.6227766,0,31.6227766,0,31.6227766,22,44.59820624,9,33.10589071,0,31.6227766,9,33.10589071,23,34.36568055,36,35.24202037,48,40.17461885,77,60.63002556,216,66.68583058,188,69.44782214,279,89.9499861,307,78.47292527,383,92.83856957,206,61.31068422,74,46.61544808,21,33.85262176,50,40.28647416
Squirrel Hill South,78,3152,235.8813261,36,47.79121258,0,36.05551275,28,46.30334761,6,36.05551275,13,36.67424164,0,36.05551275,16,43.92038251,0,36.05551275,36,52.91502622,0,36.05551275,20,46.4865572,32,43.97726685,28,47.22287581,200,94.42986816,119,73.36893075,217,89.76636341,198,76.89603371,460,142.2392351,343,113.8859078,482,123.6891264,328,104.9285471,382,115.4512884,149,100.4937809,43,46.22769733,0,36.05551275,16,42.72001873
St. Clair,79,48,29,0,10,4,6,0,10,0,10,3,5,0,10,24,27,0,10,4,7,13,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Stanton Heights,80,1697,134.3614528,11,18.57417562,19,28,10,24.2693222,0,20,22,28.58321186,0,20,0,20,45,33.37663854,80,55.32630477,112,53.60970061,86,43.74928571,132,53.79591063,193,73.25981163,439,92.96773634,181,65.7951366,246,75.45859792,41,33.1662479,55,37.53664876,10,22.91287847,0,20,0,20,15,21.44761059,0,20,0,20,0,20,0,20
Strip District,81,72,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,20,34,0,10,0,10,8,11,0,10,0,10,15,16,0,10,8,12,7,10,7,11,7,11,0,10,0,10,0,10
Summer Hill,82,403,41,5,7,0,10,0,10,4,7,0,10,0,10,0,10,4,6,30,32,28,19,52,28,84,35,46,28,76,34,24,16,22,19,16,23,6,10,0,10,6,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,514,55,9,11,0,10,0,10,0,10,0,10,16,14,0,10,10,10,0,10,20,15,38,25,13,12,16,11,137,52,38,27,74,29,56,33,37,23,10,11,28,17,12,13,0,10,0,10,0,10,0,10,0,10
Terrace Village,84,56,28.37252192,3,15.3622915,0,17.32050808,0,17.32050808,6,17.32050808,4,15.77973384,0,17.32050808,0,17.32050808,14,26.15339366,0,17.32050808,0,17.32050808,10,21.3541565,0,17.32050808,0,17.32050808,0,17.32050808,4,15.77973384,6,17.91647287,0,17.32050808,0,17.32050808,0,17.32050808,9,18.54723699,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Troy Hill,85,618,104.6900186,20,29.73213749,8,15.62049935,0,14.14213562,14,18.86796226,24,22.20360331,62,62.62587325,25,24.16609195,89,57.38466694,80,38.41874542,42,40.26164428,49,31.144823,59,38.60051813,24,25.07987241,28,25.49509757,0,14.14213562,0,14.14213562,15,21.47091055,7,17.20465053,0,14.14213562,16,19.72308292,15,20.59126028,41,25.49509757,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Upper Hill,86,513,143.3527119,0,17.32050808,22,24.91987159,23,30.47950131,42,58.72818744,24,34.07345007,11,27,8,19.20937271,9,19.20937271,15,17.49285568,91,83.57631243,59,64.85368147,15,23.68543856,14,24.49489743,16,21.56385865,13,26.15339366,6,17.32050808,9,15.77973384,6,17.32050808,36,54.85435261,60,64.28841264,9,19.20937271,25,32.63433774,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Upper Lawrenceville,87,594,115.9525765,0,17.32050808,0,17.32050808,17,27.85677655,13,20.61552813,5,16.76305461,23,25.63201124,55,42.42640687,42,30.29851482,91,49.37610758,57,34.94281042,47,44.31703961,99,61.26173357,7,17.91647287,4,15.77973384,49,37.98683983,25,24.35159132,18,19.41648784,20,34.07345007,8,18.54723699,14,27.85677655,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
West End,88,35,23,0,10,0,10,0,10,12,16,0,10,0,10,0,10,0,10,7,12,0,10,4,8,0,10,0,10,0,10,0,10,9,16,0,10,0,10,0,10,3,6,0,10,0,10,0,10,0,10,0,10,0,10
West Oakland,89,204,51.85556865,0,14.14213562,0,14.14213562,10,16.40121947,0,14.14213562,6,12.80624847,23,19.6977156,0,14.14213562,13,13.60147051,52,32.44996148,11,12.52996409,37,31.40063694,0,14.14213562,10,13.41640787,2,11.18033989,0,14.14213562,20,19.84943324,0,14.14213562,4,12.80624847,8,15.62049935,0,14.14213562,8,14.86606875,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Westwood,90,973,102.5524256,29,25.49509757,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,25,25.23885893,65,49.76946855,70,35.60898763,59,32.57299495,104,50.009999,124,54.3783045,191,65.8634952,108,53.71219601,42,30,0,14.14213562,130,53.60037313,17,16.40121947,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Windgap,91,537,87.45856162,25,21.47091055,36,39.29376541,5,12.80624847,0,14.14213562,0,14.14213562,18,19.84943324,8,16.40121947,46,40.26164428,47,30.01666204,54,34.71310992,49,34.13209633,40,27.45906044,33,22.6715681,129,61.58733636,17,23.2594067,30,23.43074903,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
