Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
Ridgemont,68,142,52,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,4,2,4,27,21,25,24,45,50,20,30,12,15,0,10,0,10,0,10,0,10,9,15,0,10,0,10,0,10,0,10
Shadyside,69,2030,225.794154,0,37.41657387,11,40.29888336,0,37.41657387,9,39.44616585,11,39.44616585,0,37.41657387,0,37.41657387,0,37.41657387,13,41.23105626,19,47.54997371,14,37.97367509,11,39.86226286,17,41.23105626,191,84.38009244,81,58.9067059,51,47.75981575,94,52.41183073,317,111.7899817,225,86.3539229,327,126.9803134,168,68.4032163,309,119.3147099,92,59.27056605,70,50.81338406
Sheraden,70,1240,148.6135929,6,24.10394159,7,24.91987159,59,40.84115571,74,43.10452412,48,41.46082488,109,59.38855109,55,47.30750469,99,45.2879675,185,81.54753215,103,57.11392125,173,72.55342859,72,55.31726674,96,59.50630219,55,41.49698784,46,39.48417404,20,30.87069808,0,24.49489743,6,24.10394159,0,24.49489743,4,23.43074903,23,32.49615362,0,24.49489743,0,24.49489743,0,24.49489743
South Oakland,71,485,95.94269123,0,20,0,20,14,21.07130751,0,20,15,24.97999199,18,25.65151068,0,20,17,23.23790008,33,39.92492956,22,26.32489316,34,31.17691454,104,56.43580424,18,24.37211521,95,47.90615827,49,37.85498646,25,27.34958866,27,31.12876483,10,21.07130751,0,20,0,20,0,20,4,19.5192213,0,20,0,20
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1413,209.2343184,40,55.68662317,10,27.49545417,0,24.49489743,0,24.49489743,9,26.92582404,0,24.49489743,26,34.07345007,48,66.43041472,0,24.49489743,9,25.86503431,52,43.78355856,117,87.39565207,105,79.74333828,65,45.83666655,65,46.32493929,131,64.32728814,95,60.41522987,242,104.608795,155,99.70957828,159,65.11528238,52,44.56455991,20,31.55946768,13,30.6757233,0,24.49489743
South Side Slopes,74,1041,148.1485741,27,31.44837039,27,42.15447782,19,27.44084547,35,36.74234614,31,32.69556545,54,38.17066937,21,29.29163703,104,59.73273809,98,46.95742753,57,36.46916506,102,52.63078947,81,54.81788029,8,27.73084925,118,72.70488292,55,46.17358552,63,40.90232267,6,27.27636339,49,54.31390246,11,30.39736831,62,46.91481642,13,26.4952826,0,26.45751311,0,26.45751311,0,26.45751311
Spring Garden,75,269,63.12685641,2,11.18033989,7,14.86606875,26,24.35159132,48,35.38361203,12,12.80624847,20,18.02775638,0,14.14213562,24,18.38477631,18,27.85677655,24,21.47091055,4,12.20655562,39,30.8058436,0,14.14213562,19,14.2126704,7,15.62049935,0,14.14213562,6,15.62049935,13,13.45362405,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Spring Hill-City View,76,642,118.5369141,20,27,17,19.89974874,29,48.12483766,7,17.91647287,36,59.69924623,0,17.32050808,33,27.44084547,78,56.8594759,76,53.88877434,108,48.39421453,92,45.63989483,11,19.20937271,55,46.021734,18,27,30,27.18455444,17,21.84032967,0,17.32050808,15,20.92844954,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Squirrel Hill North,77,2065,157.1782428,11,34.98571137,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,29,52.43090692,9,32.69556545,0,31.6227766,8,32.69556545,29,37.06750599,41,35.81898938,60,46.40043103,72,56.85068161,192,67.61656602,187,71.26710321,342,85.73797292,336,85.52777327,363,91.21403401,250,76.57675888,136,56
Squirrel Hill South,78,3069,245.1040595,38,47.9165942,0,36.05551275,32,50.80354318,0,36.05551275,11,35.4541958,0,36.05551275,16,42.72001873,0,36.05551275,15,41.58124577,0,36.05551275,24,44.15880433,30,42.15447782,23,43.60045871,220,96.82458366,137,81.2773031,196,78.97467949,184,78.25599019,457,137.3389966,322,115.3516363,593,143.763695,257,87.17797887,338,108.9128092,149,100.0849639,27,46.95742753
St. Clair,79,52,27,0,10,0,10,0,10,0,10,5,7,0,10,31,25,0,10,5,8,11,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Stanton Heights,80,1733,139.6531417,12,20.80865205,21,31.2409987,25,31.74901573,0,20,28,33.60059523,0,20,0,20,50,38.49675311,88,56.57738064,165,65.73431372,83,40.71854614,136,61.92737682,180,78.50477692,444,91.44397192,210,75.55130707,196,60.93439095,22,24.49489743,61,44.59820624,12,24.97999199,0,20,0,20,0,20,0,20,0,20
Strip District,81,81,45,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,34,0,10,0,10,7,11,0,10,0,10,14,16,0,10,25,26,0,10,7,10,7,11,0,10
Summer Hill,82,377,40,0,10,0,10,0,10,5,7,0,10,0,10,0,10,5,7,31,34,25,19,30,19,95,35,45,28,98,37,27,21,10,11,0,10,6,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,510,55,9,10,0,10,0,10,0,10,0,10,15,14,0,10,24,20,0,10,40,23,22,16,13,12,22,17,140,46,35,26,65,28,42,33,37,22,22,16,12,9,12,14,0,10,0,10,0,10
Terrace Village,84,38,27.49545417,3,15.3622915,0,17.32050808,0,17.32050808,6,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,14,26.15339366,0,17.32050808,0,17.32050808,7,17.91647287,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,8,18.54723699,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Troy Hill,85,622,114.1095964,16,26,8,15.62049935,11,19.72308292,8,15.62049935,26,24.41311123,70,62.64183905,42,40.26164428,107,64.07807737,106,48.54894438,53,43.65775991,41,29,34,31.144823,5,13.45362405,18,22.36067978,0,14.14213562,0,14.14213562,14,20.59126028,8,16.40121947,11,19.72308292,13,17.20465053,6,14.14213562,25,24.18677324,0,14.14213562,0,14.14213562
Upper Hill,86,493,113.5341358,0,17.32050808,29,27,26,34.07345007,18,30.47950131,23,36.82390528,16,27.85677655,8,19.20937271,55,58.14636704,37,30.23243292,54,62.13694553,13,24.49489743,27,30.47950131,17,25.3179778,31,37.74917218,18,28.72281323,8,19.20937271,10,16.76305461,8,19.89974874,35,39.03844259,53,34.82814953,7,19.20937271,0,17.32050808,0,17.32050808,0,17.32050808
Upper Lawrenceville,87,689,133.3341667,0,17.32050808,11,24.49489743,19,31.36877428,51,59.09314681,29,26.70205985,21,25.37715508,89,52.50714237,32,27.14774392,79,42.53234064,96,56.75385449,66,56.00892786,70,50.20956084,28,24.87971061,10,18.54723699,20,25.86503431,38,33.3166625,7,18.54723699,0,17.32050808,9,19.89974874,14,27,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
West End,88,39,29,0,10,0,10,0,10,10,16,0,10,0,10,0,10,0,10,9,15,0,10,7,11,0,10,0,10,0,10,0,10,9,13,0,10,0,10,0,10,4,8,0,10,0,10,0,10,0,10
West Oakland,89,173,59.20304046,0,14.14213562,0,14.14213562,5,12.80624847,0,14.14213562,0,14.14213562,16,17.88854382,0,14.14213562,25,19.6977156,34,30,9,12.04159458,50,46.5295605,0,14.14213562,9,9.219544457,12,15.62049935,0,14.14213562,0,14.14213562,0,14.14213562,5,12.80624847,3,11.66190379,0,14.14213562,5,12.20655562,0,14.14213562,0,14.14213562,0,14.14213562
Westwood,90,996,105.3612832,21,23.43074903,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,17,19.10497317,26,25.8069758,63,50.32891813,52,29.69848481,76,37.36308338,127,63.2455532,109,48.41487375,193,63.28506933,106,49.39635614,76,59.9082632,0,14.14213562,116,56.88585061,14,15.62049935,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Windgap,91,568,93.81364506,25,21.47091055,10,17.20465053,6,12.80624847,0,14.14213562,0,14.14213562,20,21.26029163,8,15.62049935,28,36.40054945,60,46.64761516,76,42.44997055,63,40.2492236,51,33.24154028,15,19.92485885,154,74.24957912,9,17.20465053,31,25,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,12,21.47091055,0,14.14213562,0,14.14213562,0,14.14213562
